Scheme Code;Scheme Name;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )

ABN  AMRO Mutual Fund
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;13.6338;13.6338;13.6338;20-Sep-2007
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;10.8409;10.8409;10.8409;20-Sep-2007
102654;ABN AMRO  Monthly Income Plan-Regular Plan-Quarterly Dividend Option;10.8905;10.8905;10.8905;20-Sep-2007
102622;ABN AMRO Flexi Debt Fund-Regular Plan-Daily Dividend Option;10.0000;10.0000;10.0000;20-Sep-2007
102619;ABN AMRO Flexi Debt Fund-Regular Plan-Growth Option;11.9931;11.9931;11.9931;20-Sep-2007
102621;ABN AMRO Flexi Debt Fund-Regular Plan-Half-Yearly Dividend Option;10.4214;10.4214;10.4214;20-Sep-2007
102620;ABN AMRO Flexi Debt Fund-Regular Plan-Quarterly Dividend Option;10.2246;10.2246;10.2246;20-Sep-2007
102623;ABN AMRO Flexi Debt Fund-Regular Plan-Weekly Dividend Option;10.0000;10.0000;10.0000;20-Sep-2007
105438;ABN AMRO Money Plus Fund-Institutional Plan- Daily Dividend Option (Compulsory Reinvestment);10.0001;10.0001;10.0001;20-Sep-2007
103291;ABN AMRO Money Plus Fund-Institutional Plan-Growth Option;11.4702;11.4702;11.4702;20-Sep-2007
103293;ABN AMRO Money Plus Fund-Institutional Plan-Monthly Dividend Option;10.0493;10.0493;10.0493;20-Sep-2007
103292;ABN AMRO Money Plus Fund-Institutional Plan-Weekly Dividend Option;10.0001;10.0001;10.0001;20-Sep-2007
103288;ABN AMRO Money Plus Fund-Regular Plan-Growth Option;11.4156;11.4156;11.4156;20-Sep-2007
103290;ABN AMRO Money Plus Fund-Regular Plan-Monthly Dividend Option;10.0463;10.0463;10.0463;20-Sep-2007
103289;ABN AMRO Money Plus Fund-Regular Plan-Weekly Dividend Option;10.0001;10.0001;10.0001;20-Sep-2007

Birla Sun Life Mutual Fund
101843;Birla Bond Index Fund-Dividend Plan (Plan A);10.0706;10.0605;10.0706;20-Sep-2007
101844;Birla Bond Index Fund-Growth Plan (Plan B);11.9967;11.9667;11.9967;20-Sep-2007
102767;Birla Dynamic Bond Fund-Retail Plan-Growth;11.9374;11.9374;11.9374;20-Sep-2007
102766;Birla Dynamic Bond Fund-Retail Plan-Quarterly Dividend;10.4274;10.4274;10.4274;20-Sep-2007
102855;Birla Fixed Maturity Plan - Annual  Series 3-Dividend;10.4841;10.2744;10.4841;20-Sep-2007
102856;Birla Fixed Maturity Plan - Annual  Series 3-Growth;12.2066;11.9625;12.2066;20-Sep-2007
102754;Birla Fixed Maturity Plan - Annual Yearly Series 1-Dividend;10.7508;10.5358;10.7508;20-Sep-2007
102755;Birla Fixed Maturity Plan - Annual Yearly Series 1-Growth;12.0584;11.8172;12.0584;20-Sep-2007
102682;Birla Fixed Maturity Plan - Quarterly Series II-Dividend;10.2217;10.0173;10.2217;20-Sep-2007
102683;Birla Fixed Maturity Plan - Quarterly Series II-Growth;12.3351;12.0884;12.3351;20-Sep-2007
100037;Birla Income Plus (Dividend);10.4062;10.3438;10.4062;20-Sep-2007
100038;Birla Income Plus (Growth);32.5583;32.3630;32.5583;20-Sep-2007
100971;Birla MIP-Plan A (Dividend);11.5116;11.4425;11.5116;20-Sep-2007
